fc_key,input_name,sample,chain_id,native_chain_id,found,returned_name_matches_requested
43829caebc5cbc2430734a6fcde182fd471c6fb4_4_H,43829caebc5cbc2430734a6fcde182fd471c6fb4,4,H,A,True,True
9e2abe86355b7c1b4ba561cc8daf138cd860143c_0_E,9e2abe86355b7c1b4ba561cc8daf138cd860143c,0,E,A,True,True
79d1e263d27a3e1a78b785010a58f074bc1e88ff_1_B,79d1e263d27a3e1a78b785010a58f074bc1e88ff,1,B,A,True,True
44bf2e3c00a2e746c597603c9fe875ab34148be9_1_A,44bf2e3c00a2e746c597603c9fe875ab34148be9,1,A,A,True,True
1caba8a222048b3465557dbc56ac4eb5062adfb8_0_G,1caba8a222048b3465557dbc56ac4eb5062adfb8,0,G,A,True,True
1403781b1e7ef47538ce6bdddbf9f012f9941566_0_B,1403781b1e7ef47538ce6bdddbf9f012f9941566,0,B,A,True,True
eee2991e22e6dec324c15cbe57974df15622013f_4_E,eee2991e22e6dec324c15cbe57974df15622013f,4,E,A,True,True
ec1249b470b14d190f3b60c5e5329be02b04f309_3_H,ec1249b470b14d190f3b60c5e5329be02b04f309,3,H,A,True,True
3556e009427d1ee89b2b7ac33fe03ea4005f09a1_0_L,3556e009427d1ee89b2b7ac33fe03ea4005f09a1,0,L,A,True,True
5b222c8d1759595b960367ddf9ff493ae8e5ddfa_1_A,5b222c8d1759595b960367ddf9ff493ae8e5ddfa,1,A,A,True,True
36e69a70d85f35d7c0dc73c3471e019086454a5e_0_D,36e69a70d85f35d7c0dc73c3471e019086454a5e,0,D,A,True,True
69fcb81f2f1e98b9156a01679d401268e98a78da_0_G,69fcb81f2f1e98b9156a01679d401268e98a78da,0,G,A,True,True
1d02e96197ae9bb87bf76bd3318cf77d4725e691_4_C,1d02e96197ae9bb87bf76bd3318cf77d4725e691,4,C,A,True,True
ccf6200c6d978f99b65f81c9a2b85b35bb791587_0_I,ccf6200c6d978f99b65f81c9a2b85b35bb791587,0,I,A,True,True
190288dfe3c80c20f70f15989a8c27f3ba2414cb_4_A,190288dfe3c80c20f70f15989a8c27f3ba2414cb,4,A,A,True,True
cba711428938634734d321dc54ddc0f69b4387ff_1_H,cba711428938634734d321dc54ddc0f69b4387ff,1,H,A,True,True
538338c680cd47d7064579924eddf0f2ea7d02ef_1_B,538338c680cd47d7064579924eddf0f2ea7d02ef,1,B,A,True,True
16a3d76eb9f70496e83d09c353e558e3ed700334_2_D,16a3d76eb9f70496e83d09c353e558e3ed700334,2,D,A,True,True
2bb00e8b4146230544af74fa8643debad6421701_3_H,2bb00e8b4146230544af74fa8643debad6421701,3,H,A,True,True
3dc311f082e72bc7d1cc33122f414f6e9c7563e5_2_M,3dc311f082e72bc7d1cc33122f414f6e9c7563e5,2,M,A,True,True
c9f59976029f1e25033b9c6dbc16fea193aab0cc_0_F,c9f59976029f1e25033b9c6dbc16fea193aab0cc,0,F,A,True,True
8d23d577a38b47363e956e37cb034539436bdb90_4_F,8d23d577a38b47363e956e37cb034539436bdb90,4,F,A,True,True
c3196d90781c0c7d1877d1255ecf47ee0b6a121b_4_A,c3196d90781c0c7d1877d1255ecf47ee0b6a121b,4,A,A,True,True
f4d462b4f6aacebe56763f8e70faff1afa58342f_2_A,f4d462b4f6aacebe56763f8e70faff1afa58342f,2,A,A,True,True
2c8105df04f7dfa24b383a3d3aa5311605867a80_3_C,2c8105df04f7dfa24b383a3d3aa5311605867a80,3,C,A,True,True
4448526ebabdce1dea218b05121447752d13541c_1_B,4448526ebabdce1dea218b05121447752d13541c,1,B,A,True,False
5e09a13af532eb95f4d7a0843ff450d380a458b3_2_M,5e09a13af532eb95f4d7a0843ff450d380a458b3,2,M,A,True,False
23396db9c545d5f318266f566866b85a7f984d79_1_C,23396db9c545d5f318266f566866b85a7f984d79,1,C,A,True,False
p32598_p33442_3_A,p32598_p33442,3,A,A,True,False
ae91db80dbd5a8076c1dbd22abc16dd741fbbbc9_4_F,ae91db80dbd5a8076c1dbd22abc16dd741fbbbc9,4,F,A,True,False
9d2d23bd6750b0eebf78a516abd41b0b46a843b7_3_L,9d2d23bd6750b0eebf78a516abd41b0b46a843b7,3,L,A,True,False
52b35ca6dec8e2a2f34517b95d8d671da0e28201_3_C,52b35ca6dec8e2a2f34517b95d8d671da0e28201,3,C,A,True,False
b620e6d7f06cd542cb4534409ff7c5106e7243e4_2_D,b620e6d7f06cd542cb4534409ff7c5106e7243e4,2,D,A,True,False
222fc9f89dfb5a7a4f85c7579bd66603b6f319f9_4_E,222fc9f89dfb5a7a4f85c7579bd66603b6f319f9,4,E,A,True,False
ee424fa098b050cf66c849c8ab9ccc84b5bdb622_4_E,ee424fa098b050cf66c849c8ab9ccc84b5bdb622,4,E,A,True,False
q04048_p33334_2_A,q04048_p33334,2,A,A,True,False
45ab01dcee5886641156479d4bacc6d832b40462_4_E,45ab01dcee5886641156479d4bacc6d832b40462,4,E,A,True,False
55a9226e33f7d79f5ffab8f4227e4632119be546_4_E,55a9226e33f7d79f5ffab8f4227e4632119be546,4,E,A,True,False
f32222f14940f503b0e310dba506c8805fff86f6_4_D,f32222f14940f503b0e310dba506c8805fff86f6,4,D,A,True,False
7e1abf2d19e6fab3d57d4d4f0aa615bede22faf8_4_A,7e1abf2d19e6fab3d57d4d4f0aa615bede22faf8,4,A,A,True,False
5c260a1718b15ff1ac142378125af294b4885810_3_A,5c260a1718b15ff1ac142378125af294b4885810,3,A,A,True,False
fd84cd23490d691e6c93361e8c6884944fb08811_1_C,fd84cd23490d691e6c93361e8c6884944fb08811,1,C,A,True,False
0da0ce090f68979d9b9a3fe3fd78904ca2fb53f4_2_M,0da0ce090f68979d9b9a3fe3fd78904ca2fb53f4,2,M,A,True,False
7042ef9276d118de78a070680ca0f57743e01216_0_H,7042ef9276d118de78a070680ca0f57743e01216,0,H,A,True,False
1cda692788c0ccd2f63d987659df59471fe641d6_0_K,1cda692788c0ccd2f63d987659df59471fe641d6,0,K,A,True,False
21b4af5a3bf81c9761b09c7ebef6d180d80287c8_0_D,21b4af5a3bf81c9761b09c7ebef6d180d80287c8,0,D,A,True,False
83aff0a27a49b6a12b59c65555da62f42dcb7242_0_A,83aff0a27a49b6a12b59c65555da62f42dcb7242,0,A,A,True,False
a1d2ebe87fcd64774be4700051d06c708dc90da7_2_D,a1d2ebe87fcd64774be4700051d06c708dc90da7,2,D,A,True,False
8151b440816a785da24f51797c4da62a32d7928e_4_D,8151b440816a785da24f51797c4da62a32d7928e,4,D,A,True,False
492576fb73baf8022432ffa7d1f0f0a1f0a0c840_3_E,492576fb73baf8022432ffa7d1f0f0a1f0a0c840,3,E,A,True,False
2ecfeeca8df2a7ac55a18595b4fce25c35993ed9_2_A,2ecfeeca8df2a7ac55a18595b4fce25c35993ed9,2,A,A,True,False
1b484a5dbeffa8c17fd69e8f22701611f3121cfe_0_D,1b484a5dbeffa8c17fd69e8f22701611f3121cfe,0,D,A,True,False
680e31b0a9f10e747c0f0421fa0e2429ea377f7b_1_D,680e31b0a9f10e747c0f0421fa0e2429ea377f7b,1,D,A,True,False
325516a8376aca36b92cfa06753a1dba4665f3d9_4_J,325516a8376aca36b92cfa06753a1dba4665f3d9,4,J,A,True,False
7137681adb7bc28c20fe1de9a888b6c6af706ea2_0_G,7137681adb7bc28c20fe1de9a888b6c6af706ea2,0,G,A,True,False
aac81d142fcfb62410b7761a755e989935346d14_2_D,aac81d142fcfb62410b7761a755e989935346d14,2,D,A,True,False
dd1708aee229ee7d469867017e4c7880d0eafc4b_3_B,dd1708aee229ee7d469867017e4c7880d0eafc4b,3,B,A,True,False
e5466c4ef5725ff202b740866983579239078466_3_F,e5466c4ef5725ff202b740866983579239078466,3,F,A,True,False
p07273_p38915_0_B,p07273_p38915,0,B,A,True,False
a577be1a863a59459a023e789f0b2b67b9e933c3_1_C,a577be1a863a59459a023e789f0b2b67b9e933c3,1,C,A,True,False
cc5770c3da052aad0b83322726a8994cb6e7cf77_3_G,cc5770c3da052aad0b83322726a8994cb6e7cf77,3,G,A,True,False
428867f00df31a50160c4d018e1e83d71cd5d24b_2_H,428867f00df31a50160c4d018e1e83d71cd5d24b,2,H,A,True,False
