input_name,sample,chain_id,fc_key
61546ae53b1f8ecba06236e541bd924a08328d9a,1,F,61546ae53b1f8ecba06236e541bd924a08328d9a_1_F
b94969f48c4dff562c00920e8393467d75dc4fbd,4,G,b94969f48c4dff562c00920e8393467d75dc4fbd_4_G
72807414d0af2624455e950cfdec624fa25c1799,2,K,72807414d0af2624455e950cfdec624fa25c1799_2_K
91067bc7475805d9770be83217c1645885b20f90,0,G,91067bc7475805d9770be83217c1645885b20f90_0_G
ea54a4aa966bdc447758e57eb33410cc17eac7db,1,L,ea54a4aa966bdc447758e57eb33410cc17eac7db_1_L
e6708f4b4e0c7dedbbee47735bc37255464a5a38,0,H,e6708f4b4e0c7dedbbee47735bc37255464a5a38_0_H
8a19bc3b6ca84ba62ce9b4fbea345c86c6ee5d4f,1,F,8a19bc3b6ca84ba62ce9b4fbea345c86c6ee5d4f_1_F
e390228a8c452dc28789b64f892e7ba12f798897,2,H,e390228a8c452dc28789b64f892e7ba12f798897_2_H
0ab02629889da2c45c8dc5a5bda52e6fb8335367,2,D,0ab02629889da2c45c8dc5a5bda52e6fb8335367_2_D
132ab3bbd570a17b2fb8a1370988aed49fbe8f26,3,A,132ab3bbd570a17b2fb8a1370988aed49fbe8f26_3_A
99e9f0cab548155052c996753ec459c0cb43f38e,0,A,99e9f0cab548155052c996753ec459c0cb43f38e_0_A
412e528ecd31d2e3368d6301f0510fb8124e8023,4,C,412e528ecd31d2e3368d6301f0510fb8124e8023_4_C
fc0b8b28c2e929ba9ffe96dcec87d3eecdc1e866,4,C,fc0b8b28c2e929ba9ffe96dcec87d3eecdc1e866_4_C
f2c6572aa7409b0dee05ff14ab9ed306a391c9ff,1,I,f2c6572aa7409b0dee05ff14ab9ed306a391c9ff_1_I
604a196e69d73a94514caad90e29a2e605651de9,4,F,604a196e69d73a94514caad90e29a2e605651de9_4_F
64f7b3661b902f623ec26c77338ab36918503bef,2,F,64f7b3661b902f623ec26c77338ab36918503bef_2_F
d0cc371236397df5123ff67d73bbe2436be518ad,4,F,d0cc371236397df5123ff67d73bbe2436be518ad_4_F
01454734c3d0a2b5fd21464aa85aa59621bba7ff,1,F,01454734c3d0a2b5fd21464aa85aa59621bba7ff_1_F
d085adac2bdc98d2a87bfdbabdc5200cc1c81c19,2,C,d085adac2bdc98d2a87bfdbabdc5200cc1c81c19_2_C
543a4f744628b50a211824c94aee8e0a8ce23674,0,E,543a4f744628b50a211824c94aee8e0a8ce23674_0_E
638e53284d4c96f203c731899b82e06ff0497850,4,D,638e53284d4c96f203c731899b82e06ff0497850_4_D
ac234c234a59764ca5d08d27a97324482aa3af8d,4,E,ac234c234a59764ca5d08d27a97324482aa3af8d_4_E
ddbc07a85a69c770cd584eef8e230745e3f026a8,3,B,ddbc07a85a69c770cd584eef8e230745e3f026a8_3_B
46b4fc868a0309053a27e70240ec4ce2da0ad114,3,B,46b4fc868a0309053a27e70240ec4ce2da0ad114_3_B
f7853ed4a829f80e7c69662d42c9ce644269ff51,1,B,f7853ed4a829f80e7c69662d42c9ce644269ff51_1_B
33ae551caa7e3e7f68783498ff9e5641695656cd,4,E,33ae551caa7e3e7f68783498ff9e5641695656cd_4_E
